Surface Area,Compactness,3D Rectangularity,Diameter,Convexity,Eccentricity,A3,D1,D2,D3,D4,Shape File
5.1774301444453155,0.6375141525168792,0.40017264752451304,1.4113600135453253,0.7851437233326931,2.2613840081931715,[ 79 148 194 223 171  91  50  19  11   0],[ 91 102   0 517   0 204   0   0   0  86],[ 8 26 38 40 40 63 77 99 80 29],[ 4 10 29 42 45 53 52 47 41  5],[ 2  8 21 28 33 46 33 39 24 16],./normalized_database/AircraftBuoyant/m1337.obj
6.430600026715145,0.32234851909247747,0.3855917698198054,1.392518270874342,0.7474108990301643,2.0781330225406376,[ 75 189 190 208 171  93  50  15   8   0],[ 86 116 223 283  84  67  37  41  27  36],[ 9 19 35 48 54 65 70 92 75 33],[ 5 13 24 44 51 52 46 62 31  5],[ 6 10 22 24 33 49 40 33 22 11],./normalized_database/AircraftBuoyant/m1338.obj
290.01268724457265,0.0003520367300703196,0.027284117550225043,9.569048441139122,0.05885140513422751,7.561471512564695,[175 189 148 112 119  93  57  51  39  15],[ 65 633  62  37  11  15  27  28  38  84],[ 40 154 101  33  24  31  41  28  27  21],[28 57 88 49 48 26 16  9  8  4],[17 38 54 57 37 17 17  7  5  1],./normalized_database/AircraftBuoyant/m1339.obj
15.647701124093079,4.242306570908188,0.6037802943269386,5.490715804705408,1.5019981543332626,26.8270769137585,[238 123 111 129 165 101  51  37  36   6],[ 70   0  25  34  33  71 337 279  19 132],[114 163  13  26  22  22  27  56  44  13],[38 79 37 31 48 46 34 10  4  5],[19 41 49 51 41 24 15  6  2  2],./normalized_database/AircraftBuoyant/m1340.obj
6.152374503249611,0.5520947318022215,-0.2886785649482033,3.0549287393238,-0.674547362430648,30.578134447300513,[311 147  91  79  78  73  64  64  58  32],[151  82 117  71  85   0   0 147 126 221],[ 63 110  59  61  44  54  56  17  17  19],[14 46 47 60 56 58 30 15  2  4],[ 8 27 36 59 49 38 22  5  4  2],./normalized_database/AircraftBuoyant/m1341.obj
5.7641231138034295,0.5948355309283201,0.3885342270907183,1.900624560684204,0.9037702481824634,10.944956627785567,[215 132 127 114 137 120  77  41  27   8],[ 81  88  72   0  37  32  11   4 524 151],[226  57  18  21   8  36  17  36  47  34],[112  69  46  36  17   6  13  13   8  12],[90 77 31 26 17  4  1  2  0  2],./normalized_database/AircraftBuoyant/m1342.obj
6.860741147337746,0.3502186517348598,0.48172009588046605,1.6215974640040272,1.037565610207981,3.045381757546659,[101 176 196 179 138  91  70  26  13   3],[193 186 271 171   0  89   0   0   0  90],[  5  38  66  51  59 107  94  46  22  12],[ 2 12 34 39 46 58 55 46 25 11],[ 3 16 19 30 44 45 47 22 16  8],./normalized_database/AircraftBuoyant/m1343.obj
5.067494090190881,0.8706158049808816,0.403641209388438,1.809747671525154,0.9161670960364565,9.936256587179777,[222 146 153 114 131  79  61  45  36  11],[179 117   0   0   0  26   0 302 211 165],[206  41   3   6   8  20  53  36  83  44],[95 41 59 66  6  6 17 10 18 15],[83 70 43 23 15  8  4  1  2  1],./normalized_database/AircraftBuoyant/m1344.obj
291.50470917260895,4.564738530119534e-06,0.0023389667082496057,11.042871784270421,0.005675272966803926,4.470300181035036,[139 174 175 152 154  83  62  33  16  12],[195 186 161 252  38   0   0   0  49 119],[ 29  37  43  57 110  97  33  24  37  33],[ 9 14 30 61 59 64 44 24 13 15],[ 7 20 42 43 39 36 26 25  8  4],./normalized_database/AircraftBuoyant/m1345.obj
6.6763070701380665,0.3776188555827909,-0.3930497893444316,3.0923646510970917,-0.7235046043812023,23.18564539337528,[239 206 121  83  82  69  77  84  31   6],[183 107  95  68   2 104 111 104 184  42],[53 78 72 79 64 42 36 29 29 18],[10 22 35 55 46 55 42 51 14  3],[ 4 13 26 37 44 47 37 25 12  5],./normalized_database/AircraftBuoyant/m1346.obj
7.064542412183982,0.3207154282625801,0.4502436208026919,2.6186738087253962,0.8262520185425779,21.958119124934957,[228 204 121  98  99  86  72  63  24   3],[ 70 503  43  24  47  64 108  32  60  49],[112  67  24  49  86 104  17  15  13  13],[25 47 48 51 41 28 25 25 33 10],[10 38 52 45 29 24 17 23  7  5],./normalized_database/AircraftBuoyant/m1347.obj
6.683317714183234,0.37923403945302814,0.39271329416452166,3.097109417144221,0.7247298244146974,23.172032633175718,[205 235 117  86  85  73  72  72  42  11],[194 103  97  55   1 102 117  98 203  30],[34 74 69 81 67 57 36 36 30 16],[ 9 16 36 40 54 56 44 51 22  3],[ 6 10 35 28 30 47 40 32 17  5],./normalized_database/AircraftBuoyant/m1348.obj
7.3733770527684115,0.28240234939120534,0.22204089911220898,3.323717604273752,0.6081542636153925,9.190083787137203,[185 149 134 133 133  99  66  55  25  18],[ 94 190 340  39  88   0  30  97 101  21],[63 79 72 87 60 95 19  7  8 10],[31 30 37 36 52 37 31 31 22 23],[21 49 43 31 25 27 27 11 10  6],./normalized_database/AircraftBuoyant/m1349.obj
7.325864437980224,0.28713646856560865,-0.39077411925410327,3.1609644150440728,-0.6943121910453516,8.604445017931678,[246 141 112 112 152  97  54  47  28  10],[399 437  22  20  25  19   0   7  57  14],[157 123  67  57  15   8  42  23   4   4],[ 72 118  30  12  23  22  21  24   5   6],[64 74 42 38 13  7  2  6  2  2],./normalized_database/AircraftBuoyant/m1350.obj
